,alpha,avgS(r_squared),avgS(r_squared_bm),avgS(t-stat),avgT(abs(ret)),avgT(r_squared),avgT(r_squared_bm),avgT(ret),sharpe(ret_cs),t-stat(abs(ret_cs)),t-stat(ret_cs),t-stat-alpha
Sales_To_Assets_Growth_3Y,0.002572508324084,0.3236953467075844,0.323418409690454,-0.0656480954939428,0.004318604399801,0.0751323038052024,0.0633307123625817,0.000664065434802,0.4057017276546222,9.180424877970486,0.9295794382758328,0.8242897130901583
Retained_Earnings_To_Assets,0.0005125308124681,0.3316203563948189,0.323418409690454,-0.1887033907346462,0.0078787654289521,0.0652484034164443,0.0633307123625817,-0.000434022953267,-0.1434110410917415,9.023956248872034,-0.328595975647664,0.1621551296290253
Qraft_Earnings_To_Market_Value,0.000934987079518,0.3304192457494384,0.323418409690454,0.0936278441594327,0.0086455336624356,0.0661667620430724,0.0633307082842833,-0.0021674674746242,-0.6542495679092226,8.73919568721293,-1.499074084168082,0.1517225552206621
Qraft_Operating_Leverage,-7.381457792528592e-05,0.3294063935970521,0.323418409690454,-0.1707380091188479,0.0050212804990355,0.0680505470028276,0.0633307082842833,0.001441055786696,0.7557623516818617,8.804235230574143,1.7316690919899835,-0.028742923924913
Qraft_Cash_Ratio,-0.0003733962011672,0.330253338786678,0.323418409690454,-0.2271133247435572,0.0075593305650571,0.0659033939576975,0.0633307082842833,0.0017226559047815,0.6069796158803821,9.205758134206192,1.390765017533535,-0.1267641821263627
Dividend_Coverage,-0.0020472864301713,0.3241343180507241,0.323418409690454,-0.0717929050608013,0.0041251047134529,0.1243289050834518,0.0633307123625817,-0.0008694307799109,-0.4867163918978373,6.975760831339093,-1.1152073539238154,-0.4556533794644331
Unlevered_Cashflow_To_EV,0.0012086307452264,0.3267830543753147,0.323418409690454,-0.1110216337807941,0.0065706121158069,0.0695078139749261,0.0633307123625817,-0.0002937160412384,-0.1100546819543275,8.010741424178793,-0.2521669553199981,0.2555347444911452
Corporate_Investment_Growth,-0.0025701912902569,0.3271356437792837,0.323418409690454,0.0483446230164002,0.0029718657162139,0.0749166186553385,0.0633307123625817,0.0001479320860873,0.1393197145607702,10.85818975364851,0.3192215688871855,-0.7068013818299674
Qraft_Advertising_Expense_To_Market_Value,0.000884742545979,0.3237393336937409,0.323418409690454,0.0140378210829022,0.005750326873555,0.0636117964364149,0.0633307082842833,-0.0002421936668415,-0.1172427679534455,10.698595295866523,-0.2686369294164036,0.2452956836498597
Cash_To_Assets_Change,-0.006567879846304,0.3258556917548568,0.323418409690454,-0.1760437431708019,0.0024093939771346,0.0632994651626383,0.0633307123625817,-0.0010306806877608,-1.1295870077526735,8.348221934036486,-2.588208983532648,-1.9657025464066928
Dollar_Trading_Volume,0.0021656450339276,0.328608775277702,0.323418409690454,-0.0580431285833823,0.0148406524692949,0.0649497025222443,0.0633307123625817,0.0029151912469135,0.4257938157076626,6.28965831975145,0.9756161954622208,0.4747613020982166
Share_Turnover_Volatility,0.0028832246386174,0.333548953729453,0.323418409690454,-0.1757820805237906,0.0086622705797351,0.0726732853929965,0.0633307123625817,0.001380058681268,0.3843707985087523,7.612928377218584,0.8807041395484883,0.4511604806619287
EV_To_EBIT,-0.0044686170203282,0.3279443953202271,0.323418409690454,0.0937614203386066,0.0075699434922624,0.1009252466203935,0.0633307123625817,0.0018709276356873,0.7139526065105611,11.234808109249505,1.635870930972834,-1.430050677167367
Sales_To_Inventory,-0.0017354913830058,0.3253357200218124,0.323418409690454,0.0150110979936451,0.0048353769246058,0.072340878621299,0.0633307123625817,-0.0001538202341855,-0.0864287323464283,10.026472887507426,-0.198033104098293,-0.5270201194838101
PEGY,-0.0012467543458522,0.3266283339662156,0.323418409690454,0.0188535750205034,0.0027405081090719,0.1506361492352077,0.0633307123625817,0.0002938363716999,0.2968524906056184,10.44935976606941,0.680174504218207,-0.4702958799615337
Excess_Market_Return,-0.0011961884978145,0.3272224450589234,0.323418409690454,-0.0735953605631297,0.0072008377318271,0.0654312633291736,0.0633307123625817,-0.0012335592620185,-0.4157196483655617,7.683948961067737,-0.9525333782578056,-0.2114914252258435
Sector_Neutral_Growth,0.0006245975306301,0.3257872632110673,0.323418409690454,0.0190377264405816,0.0031143898722818,0.0747604255935316,0.0633307123625817,-0.0006637459074046,-0.5283326137817507,7.944924444352254,-1.2105620973843707,0.1891268708448802
GM_Signal,-0.001466477078557,0.3248345495472474,0.323418409690454,-0.0077983786669641,0.0032924509911222,0.0779156675189656,0.0633307123625817,-0.0007596467186922,-0.6347282839025133,9.930718371200213,-1.4543452033563442,-0.5277385388201654
Dollar_Trading_Volume_Growth_6M,0.0007303770614381,0.3291310793003272,0.323418409690454,-0.172146888330039,0.0068337761204259,0.0650316794862023,0.0633307123625817,0.0007904534563725,0.244012037228686,6.070100611834755,0.5591018155404182,0.1065480450858307
Ben_Graham_Value_Score,-0.0005216381042849,0.3297351298787223,0.323418409690454,-0.2085532983738396,0.0037892940685349,0.0634093802661205,0.0633307123625817,0.0002827533584993,0.1979108345731092,9.41039002128032,0.4534706901415781,-0.1879975466590335
Asset_Illiquidity_2,-0.0031078818540889,0.3307408887533331,0.323418409690454,0.2999506784313587,0.0086579104941322,0.0650390077068503,0.0633307123625817,-0.0015699908311952,-0.4811788099788306,9.244723997849086,-1.102519159768382,-0.7599196541210185
