,alpha,avgS(r_squared),avgS(r_squared_bm),avgS(t-stat),avgT(abs(ret)),avgT(r_squared),avgT(r_squared_bm),avgT(ret),sharpe(ret_cs),t-stat(abs(ret_cs)),t-stat(ret_cs),t-stat-alpha
Sales_To_Assets_Growth_3Y,0.001069086345512,0.2867738384860976,0.2850721194425351,-0.1033274194828687,0.0034099763889552,0.0672570065691351,0.0592540454322681,8.287302515758874e-05,0.0627392315677787,17.415053293295873,0.2823265420550043,0.7681814885338343
Retained_Earnings_To_Assets,-0.0006865099405968,0.2917030171038995,0.2850721194425351,-0.0230246390009066,0.0067525919171928,0.0608925387720145,0.0592540454322681,9.706775888493556e-05,0.0367784011212331,17.075777395103493,0.165502805045549,-0.4175815631456013
Qraft_Earnings_To_Market_Value,-3.5597819338269165e-07,0.2912228732319826,0.2850721194425351,0.3548008449633186,0.0077565196244782,0.0621018979506936,0.0592540443625505,-0.0002210656506831,-0.071084674286362,16.165884621770797,-0.3198810342886293,-0.0001437767768608
Qraft_Operating_Leverage,-6.35320791716916e-05,0.2874851664098574,0.2850721194425351,0.1164791650162154,0.0049790380294381,0.061627448159648,0.0592540443625505,0.0010392363634992,0.558709576930353,18.392865089068746,2.514193096186588,-0.0520589621044377
Qraft_Cash_Ratio,-0.0005884429843025,0.2905867422053348,0.2850721194425351,-0.479385046479002,0.0055034347672032,0.0613991364428803,0.0592540443625505,0.0010770328690328,0.516646734536724,17.879952519987715,2.324910305415259,-0.4244060271597704
Dividend_Coverage,-0.0020314471436664,0.2870784093741177,0.2850721194425351,0.0344012832574643,0.0042301651114055,0.1184737030646211,0.0592540454322681,2.2492652577047624e-05,0.0131646703244192,15.929441218826089,0.0592410164598866,-1.0796341329801358
Unlevered_Cashflow_To_EV,0.0020529082449402,0.2874231143317848,0.2850721194425351,0.1842370667424923,0.0050128109362999,0.0634124364840227,0.0592540454322681,0.0008467941804274,0.4190955950414485,15.761621983673065,1.8859301776865185,0.9746377974837924
Corporate_Investment_Growth,-0.001093196445246,0.28689383658376,0.2850721194425351,0.171011611826826,0.0025749243954192,0.0670150186330533,0.0592540454322681,-0.0003662437619241,-0.390255846242952,19.889785434636902,-1.7561513080932845,-0.6915982155513045
Qraft_Advertising_Expense_To_Market_Value,0.0056911351936568,0.2862447409102569,0.2850721194425351,0.0522230318279409,0.0047554686110756,0.053176131783832,0.0592540443625505,0.0001305949026671,0.0758139048872259,20.552475258104515,0.3411625719925167,2.134424689176316
Cash_To_Assets_Change,-0.0038073626211643,0.2862137375623336,0.2850721194425351,-0.08933508700619,0.0022196761480038,0.059271121313134,0.0592540454322681,-0.0003034426927713,-0.3609188160869761,18.11748432665725,-1.6241346723913928,-3.0923766136749
Dollar_Trading_Volume,-0.0026637412650285,0.2920513867967159,0.2850721194425351,0.0725294067464905,0.0118124222896864,0.0601815613031663,0.0592540454322681,-0.0002209608716831,-0.0453084614247284,15.243755428641483,-0.2038880764112781,-1.3397222992269953
